央视,#genre#
CCTV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152
CCTV2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477
CCTV3,http://10.255.126.3:8006/AHBKLIVE/11111120210729000000000000000003
CCTV4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573
CCTV5,http://10.255.126.3:8006/AHBKLIVE/11111120210528000000000000000001
CCTV-5+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153
CCTV6,http://39.135.238.47/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8
CCTV7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485
CCTV8,http://39.135.238.47/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8
CCTV9,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478
CCTV10,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480
CCTV11,http://10.255.126.201:8112/AHBKLIVE/00000001000000050000000000000583
CCTV12,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482
CCTV13,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602
CCTV14,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483
CCTV15,http://10.255.126.201:8112/AHBKLIVE/00000001000000050000000000000587
CCTV17,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580
CGTN,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000148

CGTN西语,
CGTN法语,
CGTN俄语,
CGTN阿语,

卫视,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
北京卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000194
北京卫视4K,http://10.10.246.7:8112/AHBKLIVE/00000001000000050000000000000633
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083
东方卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000263
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000588
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000094
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000445
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086
贵州卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577
海南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000088
河北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000575
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085
黑龙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000196
湖北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000267
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000091
江苏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000198
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065

