央视,#genre#
CCTV1,rtsp://103.251.96.131/PLTV/88888888/224/3221225656/10000100000000060000000000091580_0.smil
CCTV2,rtsp://103.251.96.131/PLTV/88888888/224/3221225780/10000100000000060000000000726024_0.smil
CCTV3,rtsp://103.251.96.131/PLTV/88888888/224/3221225722/10000100000000060000000000091648_0.smil
CCTV4,rtsp://103.251.96.131/PLTV/88888888/224/3221225778/10000100000000060000000000726022_0.smil
CCTV4欧洲,
CCTV4美洲,
CCTV5,rtsp://103.251.96.131/PLTV/88888888/224/3221225719/10000100000000060000000000091644_0.smil
CCTV5+,rtsp://103.251.96.131/PLTV/88888888/224/3221225652/10000100000000060000000000091576_0.smil
CCTV6,rtsp://103.251.96.131/PLTV/88888888/224/3221225721/10000100000000060000000000091647_0.smil
CCTV7,rtsp://103.251.96.131/PLTV/88888888/224/3221225784/10000100000000060000000000726028_0.smil
CCTV8,rtsp://103.251.96.131/PLTV/88888888/224/3221225632/10000100000000060000000000091556_0.smil
CCTV9,rtsp://103.251.96.131/PLTV/88888888/224/3221225710/10000100000000060000000000091635_0.smil
CCTV10,rtsp://103.251.96.131/PLTV/88888888/224/3221225782/10000100000000060000000000726026_0.smil
CCTV11,rtsp://103.251.96.131/PLTV/88888888/224/3221225823/10000100000000060000000001019775_0.smil
CCTV12,rtsp://103.251.96.131/PLTV/88888888/224/3221225781/10000100000000060000000000726025_0.smil
CCTV13,rtsp://103.251.96.131/PLTV/88888888/224/3221225745/10000100000000060000000000091671_0.smil
CCTV14,rtsp://103.251.96.131/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil
CCTV15,rtsp://103.251.96.131/PLTV/88888888/224/3221225824/10000100000000060000000001020100_0.smil
CCTV16,
CCTV17,rtsp://103.251.96.131/PLTV/88888888/224/3221225813/10000100000000060000000000995705_0.smil
CCTVNews,
CGTN,rtsp://103.251.96.131/PLTV/88888888/224/3221225630/10000100000000060000000000091549_0.smil
CGTN西语,
CGTN法语,
CGTN俄语,
CGTN阿语,

卫视,#genre#
安徽卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225677/10000100000000060000000000091601_0.smil
北京卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225640/10000100000000060000000000091564_0.smil
北京卫视4K,rtsp://103.251.96.71/PLTV/88888888/224/3221226031/425345275.smil
重庆卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225697/10000100000000060000000000091622_0.smil
东方卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225657/10000100000000060000000000091581_0.smil
东南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225785/10000100000000060000000000726029_0.smil
甘肃卫视,
广东卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225681/10000100000000060000000000091605_0.smil
广西卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225666/10000100000000060000000000091590_0.smil
贵州卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225772/10000100000000060000000000496267_0.smil
海南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225691/10000100000000060000000000091616_0.smil
河北卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225779/10000100000000060000000000726023_0.smil
河南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225693/10000100000000060000000000091618_0.smil
黑龙江卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225638/10000100000000060000000000091562_0.smil
湖北卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225635/10000100000000060000000000091559_0.smil
湖南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225751/10000100000000060000000000091677_0.smil
吉林卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225698/10000100000000060000000000091623_0.smil
江苏卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225637/10000100000000060000000000091561_0.smil
江西卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225672/10000100000000060000000000091596_0.smil

辽宁卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225675/10000100000000060000000000091599_0.smil
内蒙古卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225700/10000100000000060000000000091625_0.smil
宁夏卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225686/10000100000000060000000000091610_0.smil

青海卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225704/10000100000000060000000000091629_0.smil
三沙卫视,
厦门卫视,
山东卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225663/10000100000000060000000000091587_0.smil
山西卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225702/10000100000000060000000000091627_0.smil
陕西卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225696/10000100000000060000000000091621_0.smil
深圳卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225750/10000100000000060000000000091676_0.smil
四川卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225674/10000100000000060000000000091598_0.smil
天津卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225664/10000100000000060000000000091588_0.smil
西藏卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225701/10000100000000060000000000091626_0.smil
新疆卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225703/10000100000000060000000000091628_0.smil

云南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225669/10000100000000060000000000091593_0.smil
浙江卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225747/10000100000000060000000000091673_0.smil

其它,#genre#
CETV1,rtsp://103.251.96.131/PLTV/88888888/224/3221225758/10000100000000060000000000281375_0.smil
CETV2,
CETV3,
CETV4,



