北京联通,#genre#

CCTV-4中文国际（4K）,rtp://239.3.1.245:2000
CCTV-4欧洲,rtp://239.3.1.213:4220
CCTV-4美洲,rtp://239.3.1.214:4220

CCTV-16奥林匹克频道[4K]1,rtp://239.3.1.97:8001
CCTV-16奥林匹克频道[4K]2,rtp://239.3.1.183:8001
北京卫视,rtp://239.3.1.241:8000
BRTV文艺,rtp://239.3.1.242:8000
BRTV科教,rtp://239.3.1.227:8000
BRTV影视,rtp://239.3.1.158:8000
BRTV生活,rtp://239.3.1.231:8000
BRTV财经,rtp://239.3.1.229:8000
BRTV青年,rtp://239.3.1.232:8000
BRTV新闻,rtp://239.3.1.159:8000
BRTV卡酷动画,rtp://239.3.1.189:8000
BRTV冬奥纪实,rtp://239.3.1.243:8000
BRTV国际频道,rtp://239.3.1.235:8000

山东教育,rtp://239.3.1.52:4120
中国教育1台,rtp://239.3.1.57:8152
中国教育2台,rtp://239.3.1.54:4120
中国教育3台,rtp://239.3.1.55:4120
中国教育4台,rtp://239.3.1.56:4120
CGTN 新闻,rtp://239.3.1.215:4220
CGTN 记录,rtp://239.3.1.216:4220
CGTN 西班牙语,rtp://239.3.1.217:4220
CGTN 法语,rtp://239.3.1.218:4220
CGTN 阿拉伯语,rtp://239.3.1.219:4220
CGTN 俄语,rtp://239.3.1.220:4220


#EXTM3U name="bj-unicom-iptv"
CCTV-1,rtp://239.2.1.1:8000
CCTV-2,rtp://239.2.1.2:8004
CCTV-4,rtp://239.2.1.4:8216
CCTV-7,rtp://239.2.1.7:8024
CCTV-9,rtp://239.2.1.9:8032
CCTV-10,rtp://239.2.1.10:8228
CCTV-11,rtp://239.2.1.11:8040
CCTV-12,rtp://239.2.1.12:8232
CCTV-13,rtp://239.2.1.13:8048
CCTV-14,rtp://239.2.1.14:8236
CCTV-15,rtp://239.2.1.15:8052
CGTN,rtp://239.2.1.16:8056
湖南卫视,rtp://239.2.1.18:8268
浙江卫视,rtp://239.2.1.19:8284
江苏卫视,rtp://239.2.1.20:8276
安徽卫视,rtp://239.2.1.21:8272
天津卫视,rtp://239.2.1.23:8144
辽宁卫视,rtp://239.2.1.24:8116
山东卫视,rtp://239.2.1.25:8148
云南卫视,rtp://239.2.1.26:8108
河南卫视,rtp://239.2.1.27:8128
黑龙江卫视,rtp://239.2.1.28:8196
四川卫视,rtp://239.2.1.29:8288
江西卫视,rtp://239.2.1.30:8280
贵州卫视,rtp://239.2.1.31:8120
深圳卫视,rtp://239.2.1.32:9244
湖北卫视,rtp://239.2.1.33:8136
东方卫视,rtp://239.2.1.34:8192
重庆卫视,rtp://239.2.1.35:8296
河南卫视,rtp://239.2.1.36:8112
河北卫视,rtp://239.2.1.37:8292
广东卫视,rtp://239.2.1.38:8132
广西卫视,rtp://239.2.1.39:8300
吉林卫视,rtp://239.2.1.40:8200
陕西卫视,rtp://239.2.1.41:8140
山西卫视,rtp://239.2.1.42:8172
内蒙古卫视,rtp://239.2.1.43:8176
青海卫视,rtp://239.2.1.44:8184
海南卫视,rtp://239.2.1.45:8304
宁夏卫视,rtp://239.2.1.46:8124
西藏卫视,rtp://239.2.1.47:8164
新疆卫视,rtp://239.2.1.48:8160
甘肃卫视,rtp://239.2.1.49:8188
北京kaku少儿,rtp://239.2.1.50:9248
金鹰卡通,rtp://239.2.1.51:9252
山东教育卫视,rtp://239.2.1.52:4120
财富天下,rtp://239.2.1.53:9136
CETV2,rtp://239.2.1.54:4120
CETV3,rtp://239.2.1.55:4120
CETV4,rtp://239.2.1.56:4120
CETV1,rtp://239.2.1.57:8152
金鹰纪实,rtp://239.2.1.58:8156
门头沟,rtp://239.2.1.59:8000
CCTV2高清,rtp://239.2.1.60:8084
CCTV7高清,rtp://239.2.1.61:8104
CCTV9高清,rtp://239.2.1.62:8112
CCTV10高清,rtp://239.2.1.63:8116
CCTV12高清,rtp://239.2.1.64:8124
CCTV14高清,rtp://239.2.1.65:8132
北京卫视高清,rtp://239.2.1.66:8068
