联通,#genre#
CCTV-1高清,rtp://239.255.36.70:8231
CCTV-2标清,rtp://239.255.36.20:8231
CCTV-3,rtp://239.255.36.118:8231
CCTV-4标清,rtp://239.255.36.21:8231
CCTV-5,rtp://239.255.36.119:8231
CCTV-6,rtp://239.255.36.120:8231
CCTV-7标清,rtp://239.255.36.22:8231
CCTV-8,rtp://239.255.36.121:8231
CCTV-9标清,rtp://239.255.36.23:8231
CCTV-10标清,rtp://239.255.36.24:8231
CCTV-11标清,rtp://239.255.36.25:8231
CCTV-12标清,rtp://239.255.36.26:8231
CCTV-13标清,rtp://239.255.36.27:8231
CCTV-14标清,rtp://239.255.36.28:8231
CCTV-15标清,rtp://239.255.36.29:8231
CCTV-16高清,rtp://239.255.36.122:8231
CCTV-17HD,rtp://239.255.36.132:8231
CCTV-5＋高清,rtp://239.255.36.72:8231
甘肃卫视标清,rtp://239.255.36.5:8231
甘肃文化影视标清,rtp://239.255.36.7:8231
甘肃经济标清,rtp://239.255.36.6:8231
甘肃公共应急标清,rtp://239.255.36.8:8231
甘肃都市标清,rtp://239.255.36.9:8231
甘肃少儿标清,rtp://239.255.36.10:8231
品质生活标清,rtp://239.255.36.12:8231
陇尚生活标清,rtp://239.255.36.11:8231
移动电视标清,rtp://239.255.36.13:8231
东方卫视标清,rtp://239.255.36.36:8231
江苏卫视标清,rtp://239.255.36.37:8231
浙江卫视标清,rtp://239.255.36.38:8231
安徽卫视标清,rtp://239.255.36.39:8231
山东卫视标清,rtp://239.255.36.40:8231
山西卫视标清,rtp://239.255.36.41:8231
湖南卫视标清,rtp://239.255.36.42:8231
湖北卫视标清,rtp://239.255.36.43:8231
江西卫视标清,rtp://239.255.36.44:8231
重庆卫视标清,rtp://239.255.36.45:8231
四川卫视标清,rtp://239.255.36.46:8231
陕西卫视标清,rtp://239.255.36.47:8231
河南卫视标清,rtp://239.255.36.48:8231
天津卫视标清,rtp://239.255.36.49:8231
辽宁卫视标清,rtp://239.255.36.50:8231
吉林卫视标清,rtp://239.255.36.51:8231
