央视,#genre#
CCTV1,http://39.134.87.62/000000001000/5000000010000030810/index.m3u8
CCTV2,http://39.134.87.62/000000001000/5000000011000031101/index.m3u8
CCTV3,http://39.134.87.62/000000001000/5000000004000008883/index.m3u8
CCTV4,http://39.134.87.62/000000001000/5000000011000031102/index.m3u8
CCTV4欧洲,
CCTV4美洲,
CCTV5,http://39.134.87.62/000000001000/5000000004000008885/index.m3u8
CCTV5+,
CCTV6,http://39.134.87.62/000000001000/5000000004000008886/index.m3u8
CCTV7,http://39.134.87.62/000000001000/5000000011000031104/index.m3u8
CCTV8,http://39.134.87.62/000000001000/5000000004000008888/index.m3u8
CCTV9,
CCTV10,http://39.134.87.62/000000001000/5000000010000016738/index.m3u8
CCTV11,http://39.134.87.62/000000001000/5000000011000031106/index.m3u8
CCTV12,http://39.134.87.62/000000001000/5000000011000031107/index.m3u8
CCTV13,http://39.134.87.62/000000001000/5000000011000031108/index.m3u8
CCTV14,http://39.134.87.62/000000001000/5000000010000023358/index.m3u8
CCTV15,http://39.134.87.62/000000001000/5000000011000031109/index.m3u8
CCTV16,
CCTV17,
CCTVNews,
CGTN,http://39.134.87.62/000000001000/4810873738577663591/index.m3u8
CGTN西语,
CGTN法语,
CGTN俄语,
CGTN阿语,
卫视,#genre#
安徽卫视,http://39.134.87.62/000000001000/5000000001000027288/index.m3u8
北京卫视,http://39.134.87.62/000000001000/5000000010000011502/index.m3u8
兵团卫视,http://39.134.87.62/000000001000/5000000006000040020/index.m3u8
重庆卫视,http://39.134.87.62/000000001000/5000000004000025797/index.m3u8
东方卫视,http://39.134.87.62/000000001000/5000000010000032246/index.m3u8
东南卫视,http://39.134.87.62/000000001000/5000000001000005829/index.m3u8
甘肃卫视,http://39.134.87.62/000000001000/5000000006000040021/index.m3u8
广东卫视,http://39.134.87.62/000000001000/5000000010000030417/index.m3u8
广西卫视,http://39.134.87.62/000000001000/5000000011000031118/index.m3u8
贵州卫视,http://39.134.87.62/000000001000/5000000004000025843/index.m3u8
海南卫视,http://39.134.87.62/000000001000/5000000004000006211/index.m3u8
河北卫视,http://39.134.87.62/000000001000/5000000006000040016/index.m3u8
河南卫视,http://39.134.87.62/000000001000/5000000011000031119/index.m3u8
黑龙江卫视,http://39.134.87.62/000000001000/5000000010000031107/index.m3u8
湖北卫视,http://39.134.87.62/000000001000/5000000010000022140/index.m3u8
湖南卫视,http://39.134.87.62/000000001000/5000000010000030452/index.m3u8
吉林卫视,http://39.134.87.62/000000001000/5000000011000031117/index.m3u8
江苏卫视,http://39.134.87.62/000000001000/5000000010000018509/index.m3u8
江西卫视,http://39.134.87.62/000000001000/5000000001000032154/index.m3u8
康巴卫视,
辽宁卫视,http://39.134.87.62/000000001000/5000000001000008940/index.m3u8
内蒙古卫视,http://39.134.87.62/000000001000/7331079758781182663/index.m3u8
宁夏卫视,http://39.134.87.62/000000001000/5000000006000040022/index.m3u8
农林卫视,
青海卫视,http://39.134.87.62/000000001000/5000000006000040015/index.m3u8
三沙卫视,
厦门卫视,http://39.134.87.62/000000001000/5084893189220221988/index.m3u8
山东卫视,http://39.134.87.62/000000001000/5000000010000027763/index.m3u8
山西卫视,http://39.134.87.62/000000001000/5000000006000040023/index.m3u8
陕西卫视,http://39.134.87.62/000000001000/5000000006000040017/index.m3u8
深圳卫视,http://39.134.87.62/000000001000/5000000010000024026/index.m3u8
四川卫视,http://39.134.87.62/000000001000/5000000004000006119/index.m3u8
天津卫视,
西藏卫视,
新疆卫视,
延边卫视,
云南卫视,http://39.134.87.62/000000001000/5000000011000031120/index.m3u8
浙江卫视,http://39.134.87.62/000000001000/5000000010000017320/index.m3u8
其它,#genre#
CETV1,http://39.134.87.62/000000001000/5000000002000002652/index.m3u8
CETV2,
CETV3,
CETV4,http://39.134.87.62/000000001000/5000000006000012123/index.m3u8
上海外语,http://39.134.87.62/000000001000/5000000010000030951/index.m3u8
上海新闻综合,http://39.134.87.62/000000001000/5000000011000031110/index.m3u8
上海第一财经,http://39.134.87.62/000000001000/5000000010000027146/index.m3u8
上海都市,http://39.134.87.62/000000001000/5000000010000018926/index.m3u8
东方影视,http://39.134.87.62/000000001000/5000000010000032212/index.m3u8
东方财经,http://39.134.87.62/000000001000/5000000007000010003/index.m3u8
东方购物,http://39.134.87.62/000000001000/5000000011000031124/index.m3u8
东方购物,http://39.134.87.62/000000001000/5000000011000031125/index.m3u8
乐游,http://39.134.87.62/000000001000/5000000011000031112/index.m3u8
五星体育,http://39.134.87.62/000000001000/5000000010000017540/index.m3u8
动漫秀场,http://39.134.87.62/000000001000/5000000011000031113/index.m3u8
卡酷少儿,http://39.134.87.62/000000001000/7851974109718180595/index.m3u8
哈哈炫动,http://39.134.87.62/000000001000/5000000005000031641/index.m3u8
嘉佳卡通,http://39.134.87.62/000000001000/4739906347743456369/index.m3u8
欢笑剧场,http://39.134.87.62/000000001000/5000000002000009455/index.m3u8
法治天地,http://39.134.87.62/000000001000/9001547084732463424/index.m3u8
游戏风云,http://39.134.87.62/000000001000/5000000011000031114/index.m3u8
生活时尚,http://39.134.87.62/000000001000/5000000002000019634/index.m3u8
纪实人文,http://39.134.87.62/000000001000/5000000001000021713/index.m3u8
都市剧场,http://39.134.87.62/000000001000/5000000011000031111/index.m3u8
金色学堂,http://39.134.87.62/000000001000/5000000010000026105/index.m3u8
金鹰卡通,http://39.134.87.62/000000001000/5000000006000040024/index.m3u8
